seller_id,type,kosis_category,status,mape_val,mape_test,smape_val,smape_test,wape_val,wape_test
k_318f287a_0,growth,생활용품,ok,33.19712910378053,7.762097057163736,32.11886921868474,72.2411984175454,31.4410325654555,48.18266411080289
k_6f229cc5_0,growth,스포츠·레저용품,ok,14.453971141545846,117.59918514244593,137.82659625112305,64.98774622549908,241.5090359577605,91.04841993081935
k_abcd2cb3_1,growth,화장품,ok,201.38650287766643,34.36483165346292,74.27641806034126,38.87148568768436,80.7247789561937,35.687411730333984
k_b39d7fe2_0,growth,생활용품,ok,25.18906039020826,26.444980280349334,85.87911956065115,31.343788710338632,63.840253444104015,28.142829890506167
k_da8622b1_1,growth,생활용품,ok,36.69522842278724,51.32460967747189,45.123825278178835,69.7265820585224,36.70071745813544,52.94455136208613
k_070d1653_1,growth,애완용품,ok,29.261415639193935,26.535553598755108,34.88020961117339,31.31791102853742,31.103048170798836,27.662838931532573
k_4869f7a5_1,growth,패션용품 및 액세서리,ok,64.09736867038961,32.55625368155167,46.744126816884716,27.388923665698854,60.97546105856142,28.83434927173069
k_ececbfcf_0,growth,화장품,ok,56.74246908165914,28.067532424355974,40.31988677011673,23.76783688647158,38.46311294312687,25.136565678031076
k_8f2ce03f_1,growth,스포츠·레저용품,ok,20.27580348487766,38.98277007488134,19.516527401480978,51.40479173135859,20.367898883020928,42.79868291574157
k_f41ce2e2_0,growth,기타,ok,1.8980341992246834,46.67917235312875,67.91687972105174,61.032981690193566,52.487698161417015,46.51275865161896
k_9a84ba99_0,growth,스포츠·레저용품,ok,34.71315646741549,71.9084553542935,41.44832197196496,113.82234414708805,38.45163061293529,74.0345119348353
k_5236605f_1,growth,스포츠·레저용품,ok,27.575146562296954,43.75483638392982,33.683194006544625,104.37868656334759,27.072399537089797,91.74043542386752
k_530ec610_0,growth,스포츠·레저용품,ok,31.64285566528939,24.638188339872777,24.780244063597404,27.939106649827767,25.441660505298312,26.416335344130104
k_b39d7fe2_1,growth,생활용품,ok,30.23075295040043,208.01310330833013,37.188488858568306,65.67008371704726,31.578527373401176,57.478022482218506
k_530ec610_1,growth,스포츠·레저용품,ok,24.965220708264876,45.70916203884946,26.865635113460602,65.98501164308001,26.881192371096173,55.720987448591316
k_715bbd5b_1,growth,패션용품 및 액세서리,ok,30.32418545481616,20.324677774692077,24.57544619072479,20.174989543852973,26.561831753212722,20.507085720753064
k_ffdd9f82_1,growth,생활용품,ok,205.08288524933582,37.809206022069915,69.07356436685616,98.36567123983585,60.51242829841018,72.64380018186672
k_5cf13acc_1,growth,애완용품,ok,31.363662779028562,41.03675800685295,37.304516909961634,52.883747713212735,31.626108521805563,43.28373853837263
k_90303766_0,growth,가구,ok,48.29430644004988,44.10034485477326,38.79437411207611,62.828729426286536,47.483797632174706,55.43170007393778
k_dc8798cb_0,growth,의복,ok,532.9801373608302,32.26655144663026,127.98763120777934,42.987258747071394,307.7304436138976,40.02544247438441
k_7178f9f4_0,growth,화장품,ok,38.66510889814261,12.776952085224616,31.22990681909874,14.392052231806932,37.048248103486145,14.123271407639068
k_80904905_1,growth,화장품,ok,88.72886325017349,58.83862036481863,70.92927171481776,86.90544099916599,67.0808970575153,65.16076262773083
k_5cf13acc_0,growth,애완용품,ok,32.635098367501705,14.824406279667404,27.7333623880385,16.5987042992321,31.45883551985817,16.81141940966224
k_1f9ab470_1,growth,아동·유아용품,ok,102.78320765228372,36.0190819170692,60.90992737122093,29.169714488950866,82.33285065860507,32.25882979855905
k_4bf2f4ee_1,growth,의복,ok,152.83775704502557,78.06668038515626,72.11651512916369,128.23026324312988,91.36205092985227,78.35928325511824
k_2e1c9f22_1,growth,화장품,ok,14.83793075969077,6.244355323506045,13.208641747060144,6.595617840166399,12.623400062585235,6.4677643611414535
k_1900267e_1,growth,생활용품,ok,12.761795391472974,4.369455682354548,11.399090871979698,4.1802539406774635,12.427577560994262,4.067424661637186
k_d03698c2_1,other,컴퓨터 및 주변기기,ok,210.2901597309272,13.389897258470834,167.50267337126127,76.49197395722975,650.9373681199883,60.3753336350911
