seller_id,type,status,mape_val,mape_test,smape_val,smape_test,wape_val,wape_test
k_1025f0e2_1,growth,ok,72.92447812397972,9.162100560407044,53.31374977788364,8.23494330204946,72.35175838472334,7.769658140412816
k_7178f9f4_0,growth,ok,22.87359770124293,22.143936272595255,22.79319956818314,19.87076661918358,23.28919912469802,21.929791483901912
k_fe2032da_1,growth,ok,21.212886707480628,14.460125309723052,19.10854146061871,14.560265300287403,21.011487548169647,14.27629631951071
k_8b2492b7_1,growth,ok,44.25739845887001,31.611496979050784,34.539914731469466,27.117528323847832,40.60289150747168,31.30272410012208
k_0db783cf_0,growth,ok,24.121745046553503,29.53774385130672,20.85010921258215,24.932204223009357,22.213974770059078,27.98509362225526
k_e067ad2c_0,growth,ok,29.24115356980266,9.410876009784564,24.738250271791394,10.047654591701312,27.12039131962747,9.864636377719442
k_4869f7a5_1,growth,ok,14.013668026018443,5.8894315463453415,12.966822501903689,5.663659899237622,13.71647826430569,5.722658990287015
k_77530e97_0,growth,ok,32.76910048176911,19.648005860435834,27.976079926181647,17.248711241585436,32.375829816580975,17.5265311100733
k_09f952a5_1,growth,ok,21.086978321230802,13.788530604820739,18.459566863580466,14.961664343757922,18.995543128566453,14.672406117021463
k_b4ffb71f_1,growth,ok,11.59803363350437,16.79549902067812,12.557372251225917,19.33631138616744,11.583094634813223,18.26752151971263
k_5cf13acc_1,growth,ok,14.719094756632503,9.683349377362353,13.639429874441436,9.744368358410082,15.04412405721382,9.789085256492804
k_6b243f80_0,growth,ok,50.61171108043582,35.2678494917095,40.2428740152655,27.030543766254894,49.99028848837441,27.7563367763337
k_ad420dd0_0,growth,ok,39.38386020572801,13.558796652466217,49.86664331862116,11.8824113529877,40.302423689825034,11.552034090039946
k_edb1ef5e_0,growth,ok,20.768243078330073,11.531807175059598,21.836000025019153,11.716328966970813,21.199761362620073,11.6076958257188
k_de23c3b9_0,growth,ok,27.62124452242268,31.2109523361877,22.571630673288894,25.75749939125458,23.016869848534903,26.7319689561175
k_1025f0e2_0,growth,ok,6.581743814251634,7.463393781363625,6.299360950129057,7.294327200890523,6.492788697436882,7.2523022985992895
k_c9c7905c_1,growth,ok,35.76689416558994,24.203386989710708,27.594018941545674,28.27039011916978,28.15352143494094,28.74774102369973
k_7d456afc_1,growth,ok,16.729116250886346,6.068719865466669,79.34349747541725,5.708465065761948,61.65042125956356,5.743173782621
k_d5ba419e_0,growth,ok,90.15245558472031,15.017838687033535,107.83783721265524,13.967948413296375,184.70279003686218,15.016939017551381
k_c0312193_0,growth,ok,44.17678519720332,33.81321400278544,34.927040448613994,142.97442345078713,42.78127919810289,330.5215293785254
k_06e5eefc_1,growth,ok,15.027043045514704,62.48259538790767,76.55635226146794,44.663393059903306,63.8227089450536,54.81071831239264
k_f61c63d1_0,growth,ok,13.124936730926331,10.921480657370923,12.87562183477573,11.302461864346853,12.799051785673221,11.161465221269019
k_6d66611d_0,growth,ok,18.8438144853473,16.231337804380487,21.4227333696005,14.482291612736207,19.876695827804593,15.142175172675094
k_f3b80352_0,growth,ok,16.55408406419843,9.748390721368166,14.859100600735859,10.037417592730847,15.454391223823446,9.873593286225153
k_1554a685_1,growth,ok,13.29618663777892,10.834607526041669,12.171710599840553,11.766241057772248,13.02188688115363,11.562491518830385
k_86bb7c4b_0,other,ok,6.210908392465564,47.31958581296814,135.46998899368532,92.94168261703882,179.14613524124732,88.26497960498145
k_acb6c2ca_1,other,ok,76.30752851558482,57.722070951069156,150.400835141815,85.16415870272867,97.39018372807617,67.58322823557154
k_973f2178_0,other,ok,16.4556256507544,10.33871925108622,18.881754950267645,73.91791701665915,17.07629128472385,56.650851012166534
k_f5f2ab9b_1,other,ok,80.78919590094131,87.5736361925791,140.58956442107876,170.80598783916267,79.37132202632132,93.68449427934657
k_bb135bac_1,other,ok,59.437054995339366,44.715838545930666,124.80993195815398,58.31415152877953,88.49054098492951,46.1424640214938
k_57989161_0,other,ok,22.881510848350672,30.05761803464394,79.53829435848743,142.04350437408468,114.65537125884977,339.4858361505894
k_e5e33c0d_1,other,ok,43.47298592713533,57.88009854189124,70.2504478779479,58.538843518674625,57.02707455273555,50.3171526510545
k_6f229cc5_0,other,ok,51.73214332982914,27.56876531990869,113.62109487849656,23.51596512343782,74.40944793491956,23.67844682533143
k_eec3469d_0,other,ok,81.63450834752659,34.94244170474416,158.64600339469686,143.24851126690194,92.92016333802945,372.184737533751
k_4c8b8048_0,other,ok,94.30410621330628,33.776625707179306,59.915957012737884,94.68007805535166,60.1398729331947,65.73455392030164
k_670a9dda_1,other,ok,,102.04327451267596,200.0,66.20234942082229,,98.20633606332217
k_f25e2390_1,other,ok,30.704854672032656,13.969992958285996,145.424585610552,76.18717246006929,194.49004165196723,52.152386697517
k_659e8466_1,other,ok,44.339493537083136,64.74301263277559,59.94998126240314,165.24444510803596,44.598796020870076,157.78004180933047
k_d03698c2_1,other,ok,34.41860793619004,42.36018473949323,95.52067537792838,108.4936294328838,91.79995838909178,77.48999885733747
k_fce62094_0,other,ok,29.782943563354085,331.82577596664214,141.97422521198942,174.92913293061287,183.20590307955123,975.6989593537913
k_9b522ba7_0,other,ok,44.63912488172602,3.0273939253840085,46.2552923096226,134.35797460561164,41.88325817680218,182.97398227875996
k_52ac6f92_1,other,ok,72.4441381187558,65.75866543165829,114.27092247548536,165.9902719943937,73.18299154646355,141.83751245955082
