seller_id,active_cv,active_trend_slope,active_trend_r2,seasonality_strength,active_zero_ratio,global_zero_ratio,log_avg_active_rev,spike_ratio,active_months_ratio,n_active,mean_active_rev,cluster,seller_type,pca1,pca2,dist_to_center
01cf7e3d21494c41fb86034f2e714fa1,1.2032063760217067,-0.0024872716524474764,0.00010255986318383645,1.0328249225834543,0.4117647058823529,0.5833333333333334,6.321250615494336,3.266097148537089,0.4166666666666667,17,555.2682352941176,1,계절형 (Seasonal),1.001134504998779,0.32370243556568934,2.0305002023574827
01ed254b9ff8407dfb9d99ba1e17d923,0.5610472842940454,-0.4704070286844955,0.878736545192434,0.9999999999513671,0.0,0.8333333333333334,5.9067165159086645,1.8499444061187336,0.16666666666666666,4,366.4975,3,성장형 (Growth),-1.8823138592554984,-1.4903816352842698,2.4162519636159128
01fd077212124329bac32490e8ef80d9,0.5421812584904144,0.2504139072744034,0.4266363767757816,0.9999999999236588,0.0,0.7916666666666666,5.49141399650995,1.945364238330076,0.20833333333333334,5,241.6,3,성장형 (Growth),-1.4980626666808994,-0.9398883675533645,1.2989896808014232
01fdefa7697d26ad920e9e0346d4bd1b,0.6245952150638464,0.02807467709879509,0.04848902771418826,0.9531932800629759,0.0,0.2916666666666667,6.77048784039083,2.289347834431737,0.7083333333333334,17,870.7370588235293,2,안정형 (Stable),-1.367824086174778,1.770963923899081,2.0792335188099393
0241d4d5d36f10f80c644447315af0bd,0.5739345587797906,0.1516872254968776,0.6985110220496261,0.9999999999938958,0.0,0.5416666666666666,7.9569449307848465,1.8251878322233548,0.4583333333333333,11,2854.336363636364,3,성장형 (Growth),-2.4362124547654274,0.3328352638567447,2.3714777523212245
0249d282d911d23cb8b869ab49c99f53,1.28514976401728,-0.33110687017003176,0.26551489771237136,0.9999999998614038,0.42857142857142855,0.8333333333333334,4.045554398052669,3.5356234090394563,0.16666666666666666,7,56.142857142857146,0,불안정형 (Volatile),1.7637584576833014,-1.3478420543386673,1.94693692596491
02c988090b766852e088c69d7fb3b551,0.6346932796870939,0.04559790841911842,0.08387169297718788,1.0072958821396818,0.14285714285714285,0.5,4.725090618323569,1.618926468657255,0.5,14,111.7407142857143,1,계절형 (Seasonal),-0.7189530534874695,0.017214529766609386,1.445101196387394
02d35243ea2e497335cd0f076b45675d,1.5796183414265592,-0.06739730755756687,0.04369100158761284,1.0454851965884522,0.5294117647058824,0.6666666666666666,5.834294608018889,5.57179841198702,0.3333333333333333,17,340.8235294117647,0,불안정형 (Volatile),2.7448667458272307,0.04925378326639236,1.574425581857245
02dcd3e8e25bee036e32512bcf175493,0.7572807880500988,-0.06060436693923367,0.0256185149648508,0.9999999999311155,0.2857142857142857,0.7916666666666666,5.2611345754203205,2.206572769837946,0.20833333333333334,7,191.70000000000002,1,계절형 (Seasonal),0.06887233410714022,-0.69217118382098,1.174699785902061
02ecc2a19303f05e59ce133fd923fff7,0.9826960445047513,0.01981430191482978,0.007589023692408367,1.0150757530695464,0.26666666666666666,0.5416666666666666,5.86347775473881,3.1819710153931946,0.4583333333333333,15,350.9460000000001,1,계절형 (Seasonal),0.4134935867148168,0.43950337939680517,1.3052304927936582
02f5837340d7eb4f653d676c7256523a,1.2520578369388529,-0.27358796758949766,0.39391194726081213,0.9999999999794315,0.2,0.6666666666666666,5.964363098099306,4.017151465883336,0.3333333333333333,10,388.30499999999995,1,계절형 (Seasonal),0.6400742771325528,-0.1502208378062163,2.3199530911974504
02f623a8eb246f3c5f7c2f96462654e6,0.6208657994543746,0.42380056443694114,0.9318748323572481,0.9999999999873733,0.0,0.7916666666666666,7.151955572821957,1.7089996864086785,0.20833333333333334,5,1275.6,3,성장형 (Growth),-2.3652113273991096,-1.0033412717211931,2.3985460081993706
