seller_id,type,mape_val,mape_test,status
k_1782ce2d_1,seasonal,46.709603300238975,,ok
k_f4db9b37_0,seasonal,159.39324496310664,80.56481420405929,ok
k_2f73e04d_0,seasonal,1.9646477683430845,78.5413579566968,ok
k_f84fa566_0,seasonal,197.9073967927805,31.858448729468165,ok
k_28ea411b_0,stable,31.529689592817235,8645.77376228673,ok
k_46dc3b2c_0,stable,42.320356583236446,82.27012609638672,ok
k_0cbcee27_1,stable,17.977282792524484,13.5559960733764,ok
k_440dd6ab_1,stable,62.01111312783504,52.00738636579959,ok
k_febab027_1,stable,18.10693640987965,12.988299438254908,ok
k_b1fc4f64_0,stable,31.8499927042598,24.52886746219558,ok
k_b90e8916_0,stable,116.18596232753475,48.43642834056638,ok
k_9baf5cb7_1,stable,40.193165486307464,43.578107814203236,ok
k_53e4c6e0_0,stable,23.021704493858415,20.476957821983856,ok
k_daeb5653_0,stable,125.16017576219241,99.0048373201432,ok
k_e8f6dc8e_0,stable,0.9563925071621219,32.27911212631774,ok
k_ddd51ae8_0,stable,72.08911319015967,74.49941609898632,ok
k_7901646f_1,stable,31.510567119428813,48.2681585252968,ok
k_2528513d_1,stable,14.617857060278192,16.65743429784172,ok
k_b2ac621f_1,stable,44.512102208367125,3.7896244324966655,ok
k_00ee6830_1,stable,7.018788971903198,77.1781991124328,ok
k_4917cee8_0,stable,36.1138469051782,97.04404417744362,ok
k_12b9676b_1,stable,21.24044949607132,6.4839990864542605,ok
k_7722b1df_1,stable,15.729468036096497,12.655064016601006,ok
k_b2ac621f_0,stable,68.91485869907973,58.58732949556573,ok
k_05d2173d_1,stable,213.0025230392061,58.068499097116785,ok
k_f789d2c4_1,stable,31.796431417652094,14.868523021467709,ok
k_1f50f920_0,stable,160.25469188838636,52.34498711774695,ok
k_1d8dbc4f_0,stable,8.015630089904867,2.033716287771765,ok
k_d93844a9_0,stable,17.687770924164635,36.85300951465815,ok
k_38102b03_1,stable,71.6958146230111,72.16409119322415,ok
k_080199a1_0,stable,88.93825823162413,34.523784377933445,ok
k_cc419e06_1,stable,32.151630032429864,32.95323218787778,ok
k_53e4c6e0_1,stable,15.521954688304593,12.86135211739799,ok
k_c4fb51fb_0,stable,82.35025846868479,38.983158800283,ok
k_ebd2d609_0,stable,88.78325887479716,10.07641826118118,ok
k_dbc22125_0,stable,30.532346763958756,9.074212776847169,ok
k_17306570_1,stable,205.17488616552265,31.089775915343882,ok
k_5cbbd5a2_1,stable,116.67897922783668,44.41531675202543,ok
k_57c764b4_0,stable,167.30922589073424,76.26731657484329,ok
k_17f51e71_1,stable,25.64065834663893,9.613761764275553,ok
k_343e7164_0,stable,16.97943467101048,8.851809747899337,ok
k_8cbac7e1_1,stable,34.37971654051708,19.009661723198075,ok
k_b56906f7_1,stable,34.70455665752946,37.988970657485545,ok
k_bbaff50f_1,stable,11.750847060212188,14.027023573454928,ok
k_2e90cb16_1,stable,31.162267964993678,23.084935258256987,ok
k_3d871de0_1,stable,93.5453044607481,195.21523571132803,ok
k_ce7d1888_0,stable,13.489778160428386,8.026690520006195,ok
k_6a51fc55_0,stable,12.609116641339293,29.17009347315476,ok
k_d98eec89_1,stable,9.008763065362475,15.533420426532322,ok
k_4a3ca931_0,stable,11.10742691205646,9.263697062256107,ok
k_0432ead4_0,stable,,,ok
k_6edacfd9_0,stable,8.960107310704228,16.07379716225762,ok
k_113e3a78_1,stable,19.630046161252555,50.81261745100941,ok
k_77530e97_1,stable,81.51321741276419,19.683658205804466,ok
k_9b522ba7_1,volatile,265.1158769914847,35.4274938988709,ok
k_4e85b538_0,volatile,380.6401810034516,90.89099993103287,ok
k_01c97ebb_0,volatile,117.80499449177275,107.57586783225976,ok
k_9d7a1d34_0,volatile,32.224529137929295,,ok
k_eec3469d_1,volatile,115.08421401068685,122.25079759621138,ok
k_9d7a1d34_1,volatile,62.41829082876311,34.84935839648746,ok
k_56db5c07_0,volatile,103.26759169958225,,ok
k_91987866_0,volatile,71.65986491725597,77.37808057380904,ok
