seller_id,type,mape_val,mape_test,smape_val,smape_test,wape_val,wape_test
k_1bb2bdb9_0,growth,59.168116892981104,49.44636097438283,84.43156751126567,66.57778992786251,59.64551324193133,51.11302723863258
k_1bb2bdb9_1,stable,63.46035834008964,65.87445217019457,93.11596914888447,98.60274718903248,63.9623565243192,66.706223792337
k_1c5e4e49_0,stable,39.05786795097549,47.549063170858666,49.87663807512674,108.417626296531,40.18352005828032,72.5845544447494
k_1c5e4e49_1,stable,104.39307377322314,57.00833045623224,110.01836246544158,119.89051405503174,107.01507108788462,76.97375141074745
k_1c68394e_0,stable,33.977419611352545,56.43535205568027,43.68478569168601,83.61159781599183,37.70889968424229,68.81752357283719
k_1c68394e_1,stable,46.371458694670366,31.337148943811897,60.92196611533204,92.4115558600317,48.474729732129255,65.15214084370913
k_1caf2832_0,stable,57.95303028658832,34.70755914345635,82.62472769079318,46.898954408756396,58.614730554903126,45.300268484415994
k_1caf2832_1,stable,35.261472398844504,50.71743606123839,43.34548914659913,68.2919141483272,37.00563418426863,51.32001004413675
k_1ce3ae5a_0,stable,39.4362619548436,39.81966419136159,50.66318520340043,50.76789982820803,43.523708532783054,42.20217157222311
k_1ce3ae5a_1,stable,47.65378915548619,43.81127863693465,62.87955777366408,56.265416106194955,47.6662633872072,44.231558986313516
k_1d2732ef_0,decline,27.557682398120935,320.9224653433116,89.32115388090514,174.40438026694423,69.59324778658753,1103.3700990235216
k_1d2732ef_1,seasonal,129.63680446483136,39.89263949689186,118.92549323615276,101.03744243086442,238.21347277885673,67.42352203991742
k_1d29dfba_0,stable,49.634099812368305,74.2903704213355,155.3392534479485,118.27569103979823,152.01407362243867,74.5399622873856
k_1d29dfba_1,stable,59.37446101097191,71.62854402712456,85.6618363242223,141.24440609693494,60.289761048172664,85.53995583648705
k_1d8dbc4f_0,stable,45.01512267955914,40.594350060222716,59.03271392759149,50.965816488599245,45.28154661305946,40.71518283469893
k_1d8dbc4f_1,stable,25.51036106179186,45.56427435876178,30.384989528938338,59.23553210046846,25.917072851053003,45.980588956824654
k_1da3aeb7_0,stable,60.212368243224745,50.612161055256976,86.9497482478966,67.90892998952613,60.533246891170535,50.952178603969415
k_1da3aeb7_1,stable,52.72401954507644,50.36208475568456,71.62752539169516,67.79256509441147,52.61007736462895,51.43191193389486
k_1eade46f_0,stable,23.90423358631801,46.92615831836805,28.496488217799637,41.512011056053666,27.07197735496969,37.868883522487046
k_1eade46f_1,stable,47.81558628872537,71.03754177752849,63.46162963411985,110.6391880401856,49.09087030400816,72.21214782951165
k_1f1bb1f0_0,stable,38.62656783162643,49.99433832504881,48.42420545236023,67.37025827161297,39.104475011201004,51.039529769937154
k_1f1bb1f0_1,stable,51.19594551921942,40.159354513303484,112.67540467409117,50.40431277420417,84.28450007408924,40.48597575178757
k_1f50f920_0,stable,111.10036581820837,32.88995470345831,60.05428269289242,25.101676480067,56.12345671876583,24.787917440021804
k_1f50f920_1,stable,45.32008013594875,50.69572892693833,58.86470413201496,68.36878689597549,45.848917001405454,51.557674350023895
k_1f7fd2a6_0,volatile,,,200.0,200.0,,
k_1f7fd2a6_1,seasonal,,,200.0,200.0,,
k_1f9ab470_0,growth,45.5858306357159,39.747429765088796,59.748999483495524,49.87869731772861,45.70010685734232,40.45190117268208
k_1f9ab470_1,stable,35.6189054084598,35.7857916207512,43.96279102710987,45.17505714397554,37.39735638379082,38.312764649248535
k_2089a6d6_0,stable,19.836985546713258,28.55536707783266,26.55083666913707,35.07325140893748,26.00579543138123,32.120472094537185
k_2089a6d6_1,stable,43.234265536962155,15.23117645941548,56.24904674045038,16.70281076426361,43.76165896759259,15.789381733259267
k_20cb7c2f_0,stable,40.8083078918839,28.477426788862076,51.90569312180001,43.677338595439316,40.64299894043522,50.58107669657706
k_20cb7c2f_1,stable,42.48525465305146,84.17808742315826,56.00378070660808,73.78124368532583,43.76700381642429,59.26231344156362
k_20d83f3e_0,stable,48.46952446362394,48.099212888215945,64.68649993463629,63.900495192405494,49.123535830928624,49.46463195295367
k_20d83f3e_1,stable,51.44166291689466,45.22412123686568,70.89289309236952,61.25787564979329,52.893158449796694,51.0851801720275
k_2138ccb8_0,stable,36.364401804549324,56.2858982329444,44.81999577195766,79.17506389080428,37.127205105406006,57.798140204159644
k_2138ccb8_1,stable,53.74947426443186,20.86776590855811,75.08674773419807,23.634762783911782,55.02004877887815,22.47908338390085
k_218d46b8_0,stable,49.39384610988326,42.37812348395198,65.90154954302524,47.537756461562495,49.756343525226136,49.60159229395705
k_218d46b8_1,stable,42.7990377184682,49.436246528314456,55.03733237819121,65.73040791416166,44.08537576294855,49.45194607519435
k_2199e7fe_0,stable,39.53324789344627,24.290057919031835,49.28450212607249,25.746397304205125,39.48230738603348,25.099659060079375
k_2199e7fe_1,stable,36.44709293568385,27.77953764649593,37.78991676738454,89.18224128575326,34.0117991555601,62.509719404080876
k_229c3efb_0,stable,42.29845450507342,17.37961187106355,102.58312704565616,20.860651088114366,62.532876417749286,21.62625679662789
k_229c3efb_1,stable,31.372310667439912,54.062832062244794,37.82859878713971,75.14094238867517,33.287976826313226,56.12525651866229
k_232a6014_0,stable,40.6947912071819,42.3891803884685,99.92082791580704,55.5306628801297,71.54345185987786,45.449480769298454
k_232a6014_1,stable,38.634895614654404,33.949178862948415,48.39645366505043,96.51603916227721,39.90357707973586,69.84053810574392
k_23613d49_0,stable,34.021787660368005,62.653025990018016,46.257519003039604,127.4888495323309,40.3719185238579,80.59546959726954
k_23613d49_1,stable,39.77390727558336,35.53413841394249,102.9220852798557,96.62152331782116,79.84575757694371,66.92249549390992
k_23d7c96d_0,stable,38.067429607014084,48.644703585910314,48.435670201865285,66.96589220495503,39.3565756124161,53.657070603535715
k_23d7c96d_1,stable,50.2219676211482,48.87897027321313,67.36528734656387,66.23915960217214,50.1064518656871,51.73783686697294
k_244c2f1b_0,stable,35.54725918960338,41.98842221454197,47.485095611759235,55.9423735318269,43.45809923636512,46.718165144768435
k_244c2f1b_1,stable,39.03023527565222,58.94669642089864,149.49795710289214,84.90640412704981,189.14542095457372,61.38151653676503
k_2528513d_0,stable,49.565066041286656,36.9732550123502,66.38297733036248,45.86006002190942,49.670096289736136,38.089033772137086
k_2528513d_1,stable,46.89462710522563,37.589302025855694,61.38679949932685,46.491970725737055,46.87657279119072,38.04585599508029
k_252e7623_0,volatile,13.011923933519054,37.69915302346145,137.40569500938048,106.33478797122902,227.32877784293004,81.39443631213514
k_252e7623_1,volatile,21.58944134035092,76.40113468475239,84.50034261095226,174.54252215551546,53.421656828089134,125.32008742840324
k_259f7b5e_0,stable,47.327269848187356,56.70207643354088,62.55754955298046,79.84332916318318,47.20058719524119,58.18824027560563
k_259f7b5e_1,stable,49.2835980665709,56.626521414525264,67.17699144805003,119.32775738741084,52.13334457410909,78.07407074002262
k_25c5c91f_0,stable,46.653865805374025,45.8100032916186,60.94383071958297,59.47031884644277,46.47948852249984,45.79780421331232
k_25c5c91f_1,stable,43.877917477772456,43.55867646546845,56.83090898921952,56.677168504877194,43.928049517081824,45.3547481891541
k_25cf099d_0,stable,64.1816273237353,45.575270990230415,132.10779620630214,106.20965125755572,83.67657101362006,75.5202373209585
k_25cf099d_1,stable,35.607711694576125,24.148285937420045,46.44470644707398,30.18317220505655,41.02784248464244,28.709758718973973
k_25e6ffe9_0,stable,53.441638552046214,33.45073368978965,53.19472673166098,42.53314316847354,45.81973150163859,37.84528245707304
k_25e6ffe9_1,stable,44.606137041439204,38.291455393600856,60.561283855016626,49.605502038860834,48.70306873122795,42.116166490281046
