#{"t_start": 1779091296.1680708, "env_id": "None"}
r,l,t
-29.278416,23,3.029116
-23.59448,24,3.031604
-23.605765,21,3.033743
-30.873565,24,3.036142
-27.924966,23,3.038445
-22.541719,21,3.040545
-27.179361,24,3.042933
-8.295063,13,3.044263
-17.221433,15,3.045789
-19.520591,20,3.047826
-20.274597,24,3.050229
-17.562558,24,3.052655
-29.893066,24,3.05505
-32.436042,24,3.057457
-16.994381,23,3.059788
-25.196709,20,3.061805
-29.831591,24,3.064233
-30.973221,24,3.066636
-19.135063,21,3.068762
-23.591234,24,3.071176
-26.682187,21,3.07328
-24.201058,24,3.075679
-25.490892,24,3.078054
-26.760791,24,3.080457
-17.637442,19,3.082381
-30.350052,24,3.084765
-21.043083,24,3.087163
-27.268758,24,3.089562
-20.03754,24,3.091966
-25.414392,21,3.094108
-25.467555,20,3.096147
-26.795357,21,3.098279
-31.097738,24,3.1007
-28.824854,24,3.103111
-19.995168,24,3.105545
-30.766789,24,3.107936
-27.536355,23,3.110255
-27.413319,21,3.112371
-19.030204,24,3.114773
-30.198421,24,3.11716
-28.855325,24,3.119584
-31.354753,24,3.122035
-12.262379,13,3.123374
-31.073505,24,3.125772
-24.654736,19,3.127703
-20.394799,19,3.129647
-26.0796,24,3.132035
-20.830329,24,3.134537
-29.424121,24,3.136969
-21.682103,19,3.138889
-23.5861,20,3.140901
-22.833593,21,3.143032
-10.97262,24,3.145419
-26.854687,21,3.147495
-25.479682,21,3.149636
-12.516766,15,3.151202
-31.55372,24,3.153653
-22.126644,24,3.156052
-18.229659,24,3.158469
-21.445296,22,3.160669
-21.596917,18,3.162513
-28.662662,23,3.16483
-21.738403,24,3.167241
-20.986187,21,3.169353
-21.255309,18,3.171186
-22.828892,21,3.395666
-28.405167,24,3.398176
-16.161549,17,3.399915
-14.962252,18,3.401732
-25.029329,23,3.404321
-6.980117,13,3.405734
-20.756924,24,3.408226
-30.507679,24,3.410702
-17.98646,20,3.412798
-25.943434,21,3.414919
-13.651858,21,3.417066
-25.588209,20,3.419105
-25.565814,24,3.421513
-21.156276,22,3.423704
-23.102462,19,3.425616
-28.656835,24,3.427982
-19.006466,18,3.429775
-29.445706,24,3.432153
-29.269178,23,3.434428
-24.672086,23,3.436688
-20.169342,21,3.438773
-3.878264,11,3.439907
-14.922427,24,3.442237
-22.003032,24,3.444862
-12.721404,11,3.446044
-31.350155,24,3.448472
-23.090695,18,3.450303
-18.435811,16,3.45195
-27.96903,24,3.454329
-30.244998,24,3.456737
-16.78081,17,3.458453
-20.047825,20,3.460458
-19.805954,18,3.462275
-12.506503,13,3.463616
-30.053148,24,3.465988
-26.17093,24,3.468348
-29.534888,23,3.470732
-29.878347,24,3.473196
-30.83948,24,3.475647
-6.890195,16,3.4773
-22.025445,24,3.479765
-21.240061,20,3.481817
-19.513017,19,3.483748
-21.490932,17,3.485501
-25.93015,20,3.48754
-28.072312,22,3.489771
-29.831656,24,3.49217
-16.494558,16,3.493813
-20.033185,18,3.49565
-12.427191,13,3.497005
-24.044578,20,3.499036
-26.380891,21,3.501175
-29.974978,24,3.50358
-16.468661,18,3.505428
-29.707741,24,3.507842
-13.319717,16,3.509514
-30.41574,24,3.511944
-27.651554,22,3.514151
-20.186622,17,3.515881
-13.945542,19,3.517797
-16.842653,23,3.520099
-18.413835,24,3.522569
-21.176554,17,3.52442
-27.29462,21,3.5266
-23.306341,23,3.528966
-18.859057,24,3.531402
-21.130182,22,3.533634
-30.56363,24,3.536095
-20.763961,16,3.537744
-16.39398,20,3.539764
-27.810891,23,3.542061
-19.857034,24,3.544452
-18.727865,19,3.546345
-27.793423,24,3.548711
-24.502285,19,3.550694
-22.736918,24,3.553132
-28.097948,22,3.555369
-13.016348,21,3.557494
-12.316569,13,3.558836
-28.980636,23,3.561156
-22.507758,21,3.563332
-27.187564,22,3.565587
-16.2678,19,3.567525
-7.247953,12,3.568797
-29.711396,23,3.571107
-19.153476,16,3.572753
-22.044659,18,3.574613
-30.714071,24,3.577041
-22.090849,20,3.57909
-23.738838,19,3.581033
-21.60166,18,3.582882
-18.866252,17,3.584623
-24.556896,23,3.586964
-20.521542,22,3.589208
-30.142656,24,3.591654
-21.150543,21,3.593792
-21.976128,24,3.596216
-20.003312,21,3.598353
-28.901492,24,3.600763
-14.075804,22,3.603007
-21.032933,19,3.829804
-18.517189,19,3.832009
-22.548395,20,3.834054
-13.103831,16,3.835681
-18.170912,24,3.838063
-21.978648,22,3.840247
-21.768283,21,3.842329
-23.106585,18,3.844357
-26.763388,23,3.846762
-27.572143,24,3.849179
-30.872335,24,3.851581
-25.46155,21,3.853691
-14.033189,14,3.855126
-14.402197,15,3.856749
-24.92182,23,3.859233
-25.467967,20,3.861259
-23.86256,22,3.863459
-17.948173,19,3.865398
-19.838024,22,3.867599
-14.203631,18,3.869438
-15.297984,18,3.871478
-26.617673,22,3.873705
-18.832099,22,3.875913
-14.34522,16,3.877555
-19.172899,22,3.879718
-17.194216,16,3.881318
-18.791185,17,3.883238
-31.074539,24,3.885821
-25.925595,24,3.88819
-8.349815,9,3.889147
-24.583112,19,3.891071
-22.732888,24,3.893439
-20.323809,20,3.895424
-26.115582,21,3.965738
-13.558718,17,3.967596
-22.570265,22,3.970029
-15.996667,24,3.972509
-27.002742,21,3.974679
-21.667681,24,3.977421
-27.381508,22,3.979756
-10.56999,18,3.981778
-27.468724,24,3.984233
-19.870843,17,3.985988
-26.691372,24,3.988418
-14.418607,16,3.990251
-24.436438,21,3.992496
-26.404229,21,3.994692
-12.706961,20,3.996774
-26.420646,24,3.999283
-9.052061,12,4.000567
-22.858616,24,4.003126
-20.018841,24,4.005582
-22.093263,24,4.008044
-22.545081,19,4.009985
-26.209244,20,4.012054
