#{"t_start": 1780031485.44627, "env_id": "None"}
r,l,t
-16.16818,15,23.604443
-12.127195,14,23.651158
-15.487155,17,23.707819
-19.010055,17,23.763918
-20.930127,18,23.822865
-28.739319,24,23.901822
-11.768653,16,23.955229
-27.972048,24,24.039528
-18.2042,19,24.10849
-12.032671,14,24.15861
-3.89294,10,24.194564
-15.1662,13,24.240925
-14.72923,13,24.285736
-13.785927,24,24.36929
-13.685361,14,24.418005
-12.053144,13,24.463218
-3.759161,6,24.484099
-25.665372,24,24.56878
-6.723323,8,24.596903
-13.749677,24,24.681303
-11.175225,13,24.727357
-32.775076,24,24.812771
-19.606929,19,24.87678
-11.84735,11,24.912795
-23.008229,24,24.991058
-12.335503,13,25.033591
-29.583699,23,25.108042
-19.316026,16,25.159433
-10.224895,12,25.198077
-8.876072,9,25.226795
-0.455038,4,25.239793
-25.746616,24,25.317353
-17.84944,17,25.371831
-16.180759,15,25.421176
-11.988984,11,25.457287
-31.921199,24,25.536555
-28.40088,23,25.611728
-30.905956,24,25.688993
-9.479072,13,25.730813
-25.155083,24,25.809355
-19.152148,18,25.867642
-7.654679,10,25.900089
-9.321,11,25.936013
-10.548459,11,25.971664
-11.058818,14,26.017586
-27.389295,24,26.09523
-14.98037,13,26.137388
-14.909843,14,26.182305
-13.599265,15,26.231824
-16.935422,14,26.277449
-25.655904,22,26.349283
-27.584304,23,26.423338
-5.248221,7,26.445905
-21.94743,18,26.504152
-7.246621,8,26.530103
-7.068685,9,26.559552
-24.557146,19,26.6212
-14.906872,13,26.663006
-17.895353,15,26.711335
-14.629986,17,26.766095
-24.989998,20,26.831049
-7.43405,17,26.886093
-8.91965,9,26.915397
-15.263646,13,26.958454
-28.716926,24,27.036259
-15.050662,13,27.078465
-18.29559,17,27.133314
-16.594397,18,27.190998
-15.617248,16,27.243397
-14.285876,18,27.30216
-5.779247,8,27.328164
-16.716674,14,27.37336
-12.586582,13,27.415671
-8.216778,13,27.458337
-12.450896,13,27.500365
-14.496272,14,27.546864
-7.557269,10,27.582183
-14.954736,13,27.624661
-11.032313,13,27.66691
-10.093755,10,27.69933
-14.165823,15,27.747718
-18.350501,18,27.806515
-16.767961,15,27.855212
-10.333016,10,27.887371
-10.283623,11,27.92318
-17.669648,17,27.977538
-31.679398,24,28.054614
-25.825752,21,28.122187
-17.975434,18,28.181032
-3.957501,7,28.203855
-8.356833,13,28.246401
-23.451532,21,28.31501
-4.637532,9,28.34447
-0.292895,4,28.35758
-4.938168,11,28.393856
-31.718508,24,28.470982
-13.250365,12,28.50942
-10.959521,17,28.566166
-31.48649,24,28.644813
-27.004105,21,28.713
-18.37038,15,28.761876
-17.173071,20,28.826594
-22.44567,20,28.892431
-17.025032,14,28.937712
-12.400672,13,28.979799
-22.215771,24,29.058248
-16.882507,15,29.107126
-20.308965,21,29.175997
-5.647278,7,29.199301
-9.88208,14,29.24494
-17.581318,17,29.30012
-9.135087,11,29.335634
-8.710441,9,29.365027
-12.107944,11,29.400756
-7.226135,8,29.426421
-11.989019,11,29.461813
-23.198517,18,29.519746
-20.287532,24,29.600848
-18.466409,15,29.650266
-12.047996,12,29.689675
-11.908809,11,29.726733
-14.979963,17,29.784271
-15.9147,14,29.83027
-10.33978,11,29.865957
-5.562591,7,29.888456
-13.650627,16,29.940077
-21.728966,17,29.995571
-13.840195,12,30.034231
-13.939534,14,30.080685
-23.989585,21,30.148524
-11.17821,11,30.183703
-17.839916,15,30.231719
-12.193762,13,30.273563
-11.656375,12,30.312583
-15.798125,16,30.364375
-9.386944,20,30.429077
-21.622232,17,30.484321
-12.401589,11,30.519815
-12.145786,15,30.569842
-16.698708,14,30.616013
-22.034808,24,30.693886
-19.69319,24,30.772778
-7.47507,10,30.805473
-16.658517,15,30.854262
-17.094008,14,30.899889
-13.920486,14,30.945396
-11.140956,14,30.990726
-18.656227,16,31.043439
-8.735878,9,31.0727
-22.643452,20,31.137784
-9.411959,12,31.177693
-13.287661,17,31.233018
-26.782504,24,31.31135
-6.591127,13,31.353148
-16.227957,16,31.405308
-10.438104,10,31.437533
-13.773967,15,31.485498
-12.126658,11,31.521332
-6.317259,14,31.567303
-11.876494,11,31.602971
-8.871369,11,31.638431
-10.672268,12,31.676809
-14.232248,12,31.715865
-18.11121,16,31.767871
-22.552973,20,31.832405
-20.86267,17,31.887762
-24.50938,19,31.948687
-2.546287,6,31.967833
-11.118391,14,32.013472
-16.65256,24,32.091489
-12.260474,24,32.169989
-25.561435,24,32.248344
-3.753886,6,32.26799
-26.625844,20,32.332381
-23.061118,18,32.39037
-19.464594,17,32.450526
-22.894325,20,32.517413
-26.416311,21,32.587696
-20.458072,21,32.656202
-19.749048,20,32.720835
-21.732786,19,32.781903
-8.71549,10,32.814042
-13.871578,12,32.853462
-9.08698,10,32.88573
-11.664847,11,32.921109
-30.698155,24,32.999715
-15.256123,13,33.042617
-11.80309,21,33.110784
-3.208904,6,33.222558
-15.359797,15,33.27112
-13.653533,15,33.320622
-26.411609,20,33.385396
-24.159573,19,33.447498
-10.720246,10,33.479685
-15.29522,13,33.521818
-5.633127,7,33.545426
-11.689983,11,33.582678
-9.034757,11,33.618877
-10.683681,11,33.655007
-13.983312,13,33.698215
-17.161398,14,33.743846
-7.5598,11,33.780055
-23.077025,18,33.839349
-10.642413,15,33.888114
-15.451842,13,33.931223
-29.598863,23,34.006268
-10.588035,11,34.042774
-15.143149,20,34.108213
0.386252,7,34.130996
-19.234091,24,34.209884
-11.544989,11,34.245379
-10.564637,10,34.278133
-11.472178,14,34.323957
-16.053694,21,34.392048
-17.467822,18,34.450792
-10.676145,10,34.483275
-12.053775,11,34.518925
-7.771079,12,34.558642
-15.240675,14,34.604696
-9.103235,10,34.637925
-7.524964,10,34.670379
-12.174077,12,34.709012
-27.689381,21,34.777381
-16.893173,18,34.842684
-18.548905,15,34.892432
-4.443168,10,34.925822
-6.22156,9,34.955555
-27.458444,21,35.025294
-13.649463,12,35.065437
-7.562746,9,35.095576
-12.947901,16,35.151866
-4.262623,9,35.181606
-15.260703,13,35.223947
-14.010925,13,35.265766
-10.656535,11,35.301071
-27.067177,21,35.369249
-16.998067,16,35.421948
-16.580972,14,35.467596
-18.680126,16,35.519675
-26.001093,22,35.591992
-10.337818,10,35.625329
-10.884322,14,35.670581
-15.117527,13,35.712714
-23.495941,22,35.783847
-26.923823,24,35.861663
-9.432741,12,35.900614
-29.078372,23,35.975365
-5.313066,13,36.017657
-7.438916,10,36.050567
-9.118263,10,36.083798
-28.516635,24,36.161483
-13.089314,16,36.21336
-7.900624,14,36.258911
-17.608227,18,36.317228
-7.847069,11,36.353165
-15.533724,13,36.395407
-10.259655,11,36.43127
-30.249844,24,36.508564
-12.086797,11,36.544557
-8.880509,9,36.574444
-12.450133,13,36.617563
-7.129071,8,36.64389
-19.503253,17,36.699562
-18.480083,15,36.748481
-27.724589,24,36.826532
-7.067028,9,36.855729
-4.106391,8,36.881589
-14.124046,18,36.940144
-7.432411,10,36.972501
-12.109146,11,37.008653
-18.54356,22,37.081217
-18.976129,22,37.153513
-7.825145,12,37.192848
-17.226442,16,37.244533
-10.83444,12,37.283985
-13.702807,12,37.323098
-26.836602,24,37.399507
-19.419037,23,37.4759
-22.787925,18,37.534528
-7.740893,10,37.567519
-7.495009,9,37.596895
-15.240673,13,37.639622
-11.128058,16,37.691655
-17.21241,17,37.746832
-17.543703,24,37.824809
-14.049177,12,37.863751
-6.5498,12,37.902909
-12.43645,12,37.94163
-8.717079,16,37.992983
-14.870043,14,38.039062
-17.028179,15,38.087768
-7.433579,9,38.117014
-12.63625,15,38.165274
-13.981924,14,38.210236
-27.426047,21,38.27901
-12.914569,20,38.343905
-5.502659,9,38.374
-7.719719,11,38.409776
-12.011816,12,38.448842
-14.846258,24,38.526496
-12.833244,15,38.576509
-20.400001,17,38.633379
-15.211719,13,38.675348
-17.04866,19,38.73774
-9.653999,18,38.796123
-15.491447,13,38.838459
-10.155803,10,38.871056
-17.064492,14,38.916735
-20.034431,24,38.995543
-12.2561,12,39.034746
-18.841285,18,39.09426
-17.713827,24,39.172429
-9.935517,12,39.21233
-15.541684,14,39.257342
-3.015986,10,39.289566
-12.083227,11,39.325318
-16.576423,15,39.373724
-14.026789,12,39.412417
-12.456664,12,39.451714
-12.436087,14,39.496904
-7.453187,12,39.535444
-15.181015,14,39.581249
-7.935469,11,39.617025
-10.688375,11,39.652685
-12.646441,13,39.695264
-15.165198,13,39.737421
-10.907348,11,39.773151
-15.677594,13,39.816383
-1.396986,8,39.842309
-14.710676,16,39.893718
-14.274803,24,39.972803
-10.962847,11,40.009417
-10.797202,10,40.043338
-10.922149,13,40.085905
-10.89637,16,40.13787
-9.703981,12,40.17697
-26.311933,20,40.245545
-11.253087,18,40.303603
-20.838067,16,40.355005
-16.722058,14,40.400656
-12.621256,24,40.478119
-10.483524,10,40.510814
-20.014874,17,40.566631
-15.746742,15,40.61596
-16.312719,24,40.694664
-21.038272,17,40.751011
-10.51384,13,40.792954
-17.372639,16,40.844657
